name,duration,type1
bulbasaur,0.00163,grass
ivysaur,0.00088,grass
venusaur,0.00072,grass
charmander,0.00067,fire
charmeleon,0.00065,fire
charizard,0.00078,fire
squirtle,0.00081,water
wartortle,0.00092,water
blastoise,0.00079,water
caterpie,0.00079,bug
metapod,0.00084,bug
butterfree,0.00089,bug
weedle,0.00110,bug
kakuna,0.00162,bug
beedrill,0.00111,bug
pidgey,0.00097,normal
pidgeotto,0.00161,normal
pidgeot,0.00114,normal
rattata,0.00116,normal
raticate,0.00106,normal
spearow,0.00095,normal
fearow,0.00110,normal
ekans,0.00111,poison
arbok,0.00114,poison
pikachu,0.00094,electric
raichu,0.00102,electric
sandshrew,0.00095,ground
sandslash,0.00082,ground
nidoran-f,0.00062,poison
nidorina,0.00090,poison
nidoqueen,0.00067,poison
nidoran-m,0.00081,poison
nidorino,0.00098,poison
nidoking,0.00136,poison
clefairy,0.00085,fairy
clefable,0.00079,fairy
vulpix,0.00069,fire
ninetales,0.00209,fire
jigglypuff,0.00084,normal
wigglytuff,0.00071,normal
zubat,0.00087,poison
golbat,0.00111,poison
oddish,0.00072,grass
gloom,0.00063,grass
vileplume,0.00073,grass
paras,0.00083,bug
parasect,0.00102,bug
venonat,0.00117,bug
venomoth,0.00181,bug
diglett,0.00088,ground
dugtrio,0.00112,ground
meowth,0.00093,normal
persian,0.00069,normal
psyduck,0.00072,water
golduck,0.00104,water
mankey,0.00110,fighting
primeape,0.00156,fighting
growlithe,0.00215,fire
arcanine,0.00076,fire
poliwag,0.00087,water
poliwhirl,0.00110,water
poliwrath,0.00073,water
abra,0.00061,psychic
kadabra,0.00063,psychic
alakazam,0.00073,psychic
machop,0.00069,fighting
machoke,0.00060,fighting
machamp,0.00084,fighting
bellsprout,0.00124,grass
weepinbell,0.00278,grass
victreebel,0.00099,grass
tentacool,0.00064,water
tentacruel,0.00063,water
geodude,0.00058,rock
graveler,0.00061,rock
golem,0.00084,rock
ponyta,0.00111,fire
rapidash,0.00098,fire
slowpoke,0.00110,water
slowbro,0.00129,water
magnemite,0.00167,electric
magneton,0.00135,electric
farfetch'd,0.00142,normal
doduo,0.00095,normal
dodrio,0.00073,normal
seel,0.00075,water
dewgong,0.00057,water
grimer,0.00059,poison
muk,0.00087,poison
shellder,0.00095,water
cloyster,0.00116,water
gastly,0.00076,ghost
haunter,0.00102,ghost
gengar,0.00128,ghost
onix,0.00115,rock
drowzee,0.00082,psychic
hypno,0.00113,psychic
krabby,0.00134,water
kingler,0.00127,water
voltorb,0.00180,electric
electrode,0.00285,electric
exeggcute,0.00098,grass
exeggutor,0.00094,grass
cubone,0.00062,ground
marowak,0.00061,ground
hitmonlee,0.00079,fighting
hitmonchan,0.00078,fighting
lickitung,0.00066,normal
koffing,0.00066,poison
weezing,0.00103,poison
rhyhorn,0.00093,ground
rhydon,0.00286,ground
chansey,0.00100,normal
tangela,0.00074,grass
kangaskhan,0.00072,normal
horsea,0.00088,water
seadra,0.00079,water
goldeen,0.00112,water
seaking,0.00094,water
staryu,0.00079,water
starmie,0.00142,water
mr. mime,0.00118,psychic
scyther,0.00175,bug
jynx,0.00092,ice
electabuzz,0.00088,electric
magmar,0.00073,fire
pinsir,0.00070,bug
tauros,0.00067,normal
magikarp,0.00062,water
gyarados,0.00071,water
lapras,0.00056,water
ditto,0.00065,normal
eevee,0.00088,normal
vaporeon,0.00114,water
jolteon,0.00175,electric
flareon,0.00086,fire
porygon,0.00069,normal
omanyte,0.00081,rock
omastar,0.00079,rock
kabuto,0.00103,rock
kabutops,0.00082,rock
aerodactyl,0.00092,rock
snorlax,0.00069,normal
articuno,0.00085,ice
zapdos,0.00076,electric
moltres,0.00096,fire
dratini,0.00260,dragon
dragonair,0.00123,dragon
dragonite,0.00092,dragon
mewtwo,0.00068,psychic
mew,0.00065,psychic
chikorita,0.00083,grass
bayleef,0.00080,grass
meganium,0.00061,grass
cyndaquil,0.00061,fire
quilava,0.00097,fire
typhlosion,0.01502,fire
totodile,0.00152,water
croconaw,0.00161,water
feraligatr,0.00127,water
sentret,0.00149,normal
furret,0.00095,normal
hoothoot,0.00147,normal
noctowl,0.00153,normal
