name,duration,type1
bulbasaur,0.00083,grass
ivysaur,0.00067,grass
venusaur,0.00053,grass
charmander,0.00042,fire
charmeleon,0.00041,fire
charizard,0.00041,fire
squirtle,0.00032,water
wartortle,0.00043,water
blastoise,0.00042,water
caterpie,0.00040,bug
metapod,0.00034,bug
butterfree,0.00041,bug
weedle,0.00039,bug
kakuna,0.00039,bug
beedrill,0.00043,bug
pidgey,0.00039,normal
pidgeotto,0.00040,normal
pidgeot,0.00036,normal
rattata,0.00038,normal
raticate,0.00103,normal
spearow,0.00037,normal
fearow,0.00043,normal
ekans,0.00071,poison
arbok,0.00048,poison
pikachu,0.00035,electric
raichu,0.00034,electric
sandshrew,0.00040,ground
sandslash,0.00038,ground
nidoran-f,0.00034,poison
nidorina,0.00022,poison
nidoqueen,0.00022,poison
nidoran-m,0.00019,poison
nidorino,0.00020,poison
nidoking,0.00019,poison
clefairy,0.00018,fairy
clefable,0.00018,fairy
vulpix,0.00029,fire
ninetales,0.00033,fire
jigglypuff,0.00019,normal
wigglytuff,0.00020,normal
zubat,0.00018,poison
golbat,0.00029,poison
oddish,0.00021,grass
gloom,0.00026,grass
vileplume,0.00020,grass
paras,0.00018,bug
parasect,0.00019,bug
venonat,0.00020,bug
venomoth,0.00018,bug
diglett,0.00019,ground
dugtrio,0.00019,ground
meowth,0.00018,normal
persian,0.00018,normal
psyduck,0.00016,water
golduck,0.00016,water
mankey,0.00016,fighting
primeape,0.00016,fighting
growlithe,0.00016,fire
arcanine,0.00017,fire
poliwag,0.00015,water
poliwhirl,0.00016,water
poliwrath,0.00016,water
abra,0.00016,psychic
kadabra,0.00017,psychic
alakazam,0.00017,psychic
machop,0.00016,fighting
machoke,0.00017,fighting
machamp,0.00016,fighting
bellsprout,0.00015,grass
weepinbell,0.00016,grass
victreebel,0.00016,grass
tentacool,0.00016,water
tentacruel,0.00016,water
geodude,0.00015,rock
graveler,0.00016,rock
golem,0.00017,rock
ponyta,0.00016,fire
rapidash,0.00017,fire
slowpoke,0.00016,water
slowbro,0.00016,water
magnemite,0.00015,electric
magneton,0.00016,electric
farfetch'd,0.00016,normal
doduo,0.00016,normal
dodrio,0.00017,normal
seel,0.00016,water
dewgong,0.00016,water
grimer,0.00016,poison
muk,0.00016,poison
shellder,0.00016,water
cloyster,0.00017,water
gastly,0.00017,ghost
haunter,0.00036,ghost
gengar,0.00031,ghost
onix,0.00028,rock
drowzee,0.00032,psychic
hypno,0.00040,psychic
krabby,0.00032,water
kingler,0.00024,water
voltorb,0.00020,electric
electrode,0.00019,electric
exeggcute,0.00017,grass
exeggutor,0.00017,grass
cubone,0.00016,ground
marowak,0.00017,ground
hitmonlee,0.00016,fighting
hitmonchan,0.00016,fighting
lickitung,0.00016,normal
koffing,0.00016,poison
weezing,0.00017,poison
rhyhorn,0.00016,ground
rhydon,0.00016,ground
chansey,0.00015,normal
tangela,0.00016,grass
kangaskhan,0.00016,normal
horsea,0.00017,water
seadra,0.00016,water
goldeen,0.00016,water
seaking,0.00016,water
staryu,0.00015,water
starmie,0.00016,water
mr. mime,0.00016,psychic
scyther,0.00016,bug
jynx,0.00017,ice
electabuzz,0.00016,electric
magmar,0.00017,fire
pinsir,0.00016,bug
tauros,0.00016,normal
magikarp,0.00016,water
gyarados,0.00018,water
lapras,0.00016,water
ditto,0.00015,normal
eevee,0.00016,normal
vaporeon,0.00016,water
jolteon,0.00017,electric
flareon,0.00016,fire
porygon,0.00015,normal
omanyte,0.00016,rock
omastar,0.00016,rock
kabuto,0.00017,rock
kabutops,0.00021,rock
aerodactyl,0.00017,rock
snorlax,0.00017,normal
articuno,0.00017,ice
zapdos,0.00017,electric
moltres,0.00017,fire
dratini,0.00016,dragon
dragonair,0.00016,dragon
dragonite,0.00017,dragon
mewtwo,0.00017,psychic
mew,0.00016,psychic
chikorita,0.00015,grass
bayleef,0.00016,grass
meganium,0.00017,grass
cyndaquil,0.00015,fire
quilava,0.00016,fire
typhlosion,0.00016,fire
totodile,0.00016,water
croconaw,0.00016,water
feraligatr,0.00017,water
sentret,0.00016,normal
furret,0.00016,normal
hoothoot,0.00016,normal
noctowl,0.00017,normal
ledyba,0.00016,bug
ledian,0.00017,bug
spinarak,0.00015,bug
ariados,0.00016,bug
crobat,0.00016,poison
chinchou,0.00015,water
lanturn,0.00016,water
pichu,0.00016,electric
cleffa,0.00015,fairy
igglybuff,0.00015,normal
togepi,0.00016,fairy
togetic,0.00015,fairy
natu,0.00015,psychic
xatu,0.00016,psychic
mareep,0.00016,electric
flaaffy,0.00016,electric
ampharos,0.00016,electric
bellossom,0.00033,grass
marill,0.00028,water
azumarill,0.00032,water
sudowoodo,0.00027,rock
politoed,0.00040,water
hoppip,0.00025,grass
skiploom,0.00024,grass
jumpluff,0.00030,grass
aipom,0.00033,normal
sunkern,0.00042,grass
sunflora,0.00040,grass
yanma,0.00067,bug
wooper,0.00073,water
quagsire,0.00054,water
espeon,0.00028,psychic
umbreon,0.00025,dark
murkrow,0.00030,dark
slowking,0.00039,water
misdreavus,0.00032,ghost
unown,0.00033,psychic
wobbuffet,0.00026,psychic
girafarig,0.00034,normal
pineco,0.00026,bug
forretress,0.00025,bug
dunsparce,0.00020,normal
gligar,0.00019,ground
steelix,0.00018,steel
snubbull,0.00016,fairy
granbull,0.00016,fairy
qwilfish,0.00016,water
scizor,0.00017,bug
shuckle,0.00016,bug
heracross,0.00016,bug
sneasel,0.00016,dark
teddiursa,0.00015,normal
ursaring,0.00016,normal
slugma,0.00015,fire
magcargo,0.00016,fire
swinub,0.00015,ice
piloswine,0.00016,ice
corsola,0.00016,water
remoraid,0.00015,water
octillery,0.00016,water
delibird,0.00016,ice
mantine,0.00016,water
skarmory,0.00017,steel
houndour,0.00016,dark
houndoom,0.00017,dark
kingdra,0.00016,water
phanpy,0.00016,ground
donphan,0.00017,ground
porygon2,0.00015,normal
stantler,0.00017,normal
smeargle,0.00016,normal
tyrogue,0.00015,fighting
hitmontop,0.00017,fighting
smoochum,0.00015,ice
elekid,0.00016,electric
magby,0.00018,fire
miltank,0.00022,normal
blissey,0.00018,normal
raikou,0.00017,electric
entei,0.00018,fire
suicune,0.00017,water
larvitar,0.00015,rock
pupitar,0.00016,rock
tyranitar,0.00017,rock
lugia,0.00019,psychic
ho-oh,0.00029,fire
celebi,0.00021,psychic
treecko,0.00022,grass
grovyle,0.00028,grass
sceptile,0.00026,grass
torchic,0.00028,fire
combusken,0.00030,fire
blaziken,0.00024,fire
mudkip,0.00030,water
marshtomp,0.00029,water
swampert,0.00026,water
poochyena,0.00021,dark
mightyena,0.00032,dark
zigzagoon,0.00034,normal
linoone,0.00025,normal
wurmple,0.00025,bug
silcoon,0.00024,bug
beautifly,0.00022,bug
cascoon,0.00017,bug
dustox,0.00024,bug
lotad,0.00019,water
lombre,0.00017,water
ludicolo,0.00017,water
seedot,0.00016,grass
nuzleaf,0.00016,grass
shiftry,0.00017,grass
taillow,0.00016,normal
swellow,0.00017,normal
wingull,0.00015,water
pelipper,0.00016,water
ralts,0.00015,psychic
kirlia,0.00016,psychic
gardevoir,0.00016,psychic
surskit,0.00015,bug
masquerain,0.00016,bug
shroomish,0.00016,grass
breloom,0.00016,grass
slakoth,0.00015,normal
vigoroth,0.00016,normal
slaking,0.00016,normal
nincada,0.00015,bug
ninjask,0.00016,bug
shedinja,0.00016,bug
whismur,0.00015,normal
loudred,0.00016,normal
exploud,0.00017,normal
makuhita,0.00018,fighting
hariyama,0.00017,fighting
azurill,0.00016,normal
nosepass,0.00016,rock
skitty,0.00016,normal
delcatty,0.00016,normal
sableye,0.00016,dark
mawile,0.00016,steel
aron,0.00019,steel
lairon,0.00017,steel
aggron,0.00026,steel
meditite,0.00030,fighting
medicham,0.00062,fighting
electrike,0.00066,electric
manectric,0.00035,electric
plusle,0.00029,electric
minun,0.00024,electric
volbeat,0.00021,bug
illumise,0.00021,bug
roselia,0.00019,grass
gulpin,0.00015,poison
swalot,0.00016,poison
carvanha,0.00016,water
sharpedo,0.00016,water
wailmer,0.00016,water
wailord,0.00016,water
numel,0.00015,fire
camerupt,0.00017,fire
torkoal,0.00030,fire
spoink,0.00022,psychic
grumpig,0.00019,psychic
spinda,0.00018,normal
trapinch,0.00020,ground
vibrava,0.00027,ground
flygon,0.00035,ground
cacnea,0.00028,grass
cacturne,0.00024,grass
swablu,0.00020,normal
altaria,0.00034,dragon
zangoose,0.00039,normal
