BIBLIOGRAFÍA,AUTOR,TÍTULO,FECHA,CRITERIO,BLOQUE,MEDIO,SOPORTE,TEMA,PAÍS,ZONA,TIPOLOGÍA,NOTAS,CONCORDANCIA
"VV.AA.: Desarrollo de la vitivinicultura en el Perú. Lima: Fundación para el desarrollo del agro, 1991.",VV.AA.,Desarrollo de la vitivinicultura en el Perú,1991,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Perú,Andina,,No se introducen los anexos ni los dos últimos capítulos (grupos de trabajo y ponentes de la mesa redonda),"En la costa del Perú nos interesa, desde el punto de vista de sostenibilidad, aliviar los problemas de salinidad y hacer el más eficiente uso del agua; en todo lo demás que no tenga que ver con germoplasma y manejo del agua en la costa, estoy seguro de que existe mucha tecnología y no se necesita de un impulso importante adicional. Por eso focalizamos la acción de FUNDEAGRO"
"«Miguel Holle». Holle, Miguel: Recursos naturales. Tecnología y desarrollo. Cusco (Per): CBC (centro de Estudios Regionales Andinos &#34;Bartolom de las Casas&#34;), 1993.","Holle, Miguel",Recursos naturales. Tecnología y desarrollo,1993,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Perú,Andina,,,"El propósito de enfatizar la sostenibilidad de los sistemas es relativamente reciente. En la Figura 9 Sistema sostenible de uso de la tierra (Hart 4 / 1992) , Hart conceptualiza la región, comunidad, y finca en relación a las condiciones necesarias para ofrecerla. Se trata de combinar el ambiente socioeconómico con el biofísico."
"«Dora Velásquez». Velásquez, Dora: Recursos naturales. Tecnología y desarrollo. Cusco (Per): CBC (centro de Estudios Regionales Andinos &#34;Bartolom de las Casas&#34;), 1993.","Velásquez, Dora",Recursos naturales. Tecnología y desarrollo,1993,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Perú,Andina,,,"Finalmente, durante la República, el uso de la fauna se caracteriza por ser extractivo, buscando beneficios a corto plazo, sin prestar atención a la sostenibilidad del recurso. Los casos más impactantes han sido los de la vicuña, las aves guaneras, la anchoveta, la chinchilla y los lobos de mar. Ahora existe una atención especial por la conservación de la vicuña porque su población había sufrido una caída abrupta entre 1950 (250,000 ejemplares) y 1964 (5,000 ejemplares"
"«&ndash; Reiteran ambas agencias de Naciones Unidas su voluntad de cooperación con la Isla». Granma Internacional. La Habana: Ediciones Cubanas, 1996-11-03.",,Granma Internacional,1996,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Cuba,Antillas,,"Versión realizada sobre texto marcado HTML. Edición internacional, periodicidad semanal",Añade que ese empeoramiento amenaza la sostenibilidad de la amplia red de servicios que benefician a los niños y las familias.
"«Exposición del señor Presidente de la República José María Figueres, en cadena nacional de televisión. Lunes 16 de diciembre de 1996.». La Nación. San José: nacion.co.cr, 1996-12-17.",,La Nación,1996,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Costa Rica,México y Centroamérica,,Versión realizada sobre texto marcado HTML. No se acentúan mayúsculas iniciales.,"Con decisión hemos impulsado y concretado cambios fundamentales para la vida de los costarricenses. El centro de nuestra preocupación ha sido la sostenibilidad del modelo de desarrollo que Costa Rica lleve adelante, porque solo así el costarricense de hoy y el de mañana disfrutará del bienestar al que todos aspiramos."
"«MARIO BORDA PISTERNA». Los Tiempos. Cochabamba: lostiempos.com, 1996-12-02.",,Los Tiempos,1996,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,Bolivia,Andina,,Versión realizada sobre texto marcado HTML,"organización civil sin fines de lucro; ha cumplido sus dos objetivos importantes, uno la creación del Comité de Normas y otro la conformación de una estructura institucional responsable de la regulación y supervisión de la certificación; es decir, cumple con la finalidad de promover los procesos de manejo forestal racional y su certificación bajo criterios de sostenibilidad que resulten ambientalmente apropiados, socialmente beneficiosos y económicamente viables."
"«Presidente Gonzalo Sánchez de Lozada inaugurará reunión Cumbre tras vencer sinfín de problemas en todos los campos.». Los Tiempos. Cochabamba: lostiempos.com, 1996-12-07.",,Los Tiempos,1996,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Bolivia,Andina,,Versión realizada sobre texto marcado HTML,"Indicó que sólo un compromiso de jefes de Estado y de Gobierno, de adoptar los principios de un desarrollo con sostenibilidad, bajo la visión global de la trilogía social, económica y ambiental, dentro de una interrelación indisoluble, proporcionará las herramientas para combatir la pobreza y el deterioro ambiental."
"«ERIKA BROCKMANN Q». Los Tiempos. Cochabamba: lostiempos.com, 1996-12-13.",,Los Tiempos,1996,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Bolivia,Andina,,Versión realizada sobre texto marcado HTML,y del Plan de Acción. No sólo que se introducen elementos interesantes que rompen la barrera impuesta por aquellos países que soslayaban el tratamiento del tema de la pobreza sino que se recomiendan acciones concretas que permitan dar un sentido práctico a esta nueva forma de pensar el desarrollo económico y social desde la perspectiva de su sostenibilidad.
"«EL CONSENSO». El País. Madrid: Diario El País, S.A., 1996-09-25.",,El País,1996,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,Versión realizada sobre texto marcado HTML,"1997, sino de convertir en permanente este rigor. Las soluciones de «un solo uso» —como algunas privatizaciones o argucias contables— no resultarán de utilidad. Que el Banco de España no rebajara ayer los tipos de interés puede interpretarse como una falta de confianza no tanto en el presupuesto de 1997, como en la sostenibilidad futura del esfuerzo de ajuste."
"«MANUEL ABRIZO». El Universal. Caracas: Electronic Publishing Group, 1996-11-06.",,El Universal,1996,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,Venezuela,Caribe continental,,Versión realizada sobre texto marcado HTML,"'En todos los casos, esta expansión ganadera se encuentra ejerciendo una desigual competencia con miles de especies de animales autóctonos de cada continente, que pudiesen ser aprovechados para la alimentación humana bajo sistemas de manejo y zoocría modernos que permiten mayor sostenibilidad en los ecosistemas regionales, y con niveles de productividad por hectárea que en algunos casos pueden ser incluso superiores a los del propio ganado vacuno', indican. Además, los sistemas intensivos de producción ganadera, avícola y porcina existentes a nivel mundial, ejercen otro impacto indirecto sobre el planeta, dada la cantidad de"
"«Madrid. Ángel García Moreno». ABC Electrónico. Madrid: Prensa Española, 1997.",,ABC Electrónico,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,,"mantendrán su participación en el conjunto del PIB. El portavoz del PSOE, José Manuel Eguiagaray, mostró el apoyo de su grupo a los objetivos de convergencia pero criticó los medios establecidos por el Gobierno para alcanzarlos. En este sentido expresó su preocupación porque, a su juicio, el plan introduce serias dudas sobre la sostenibilidad del Estado del Bienestar. Francesc Homs, en nombre de CiU, dijo que el plan es creíble, responde a un adecuado diseño de política económica y es coincidente con el pacto PP-CiU. Por el PNV, González de Txabarri, comentó que el plan de convergencia es una muestra de la política económica de centro inteligente que"
"Asencio Díaz, Fausto Wilfredo: La producción de algarroba de los bosques secos. Cuzco: Centro de Estudios Regionales Andinos &#34;Bartolomé de las Casas&#34;, 1997.","Asencio Díaz, Fausto Wilfredo",La producción de algarroba de los bosques secos,1997,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Perú,Andina,,Preliminares: presentación e introducción.,"En este sentido, en el presente capítulo trataremos de las diferentes tecnologías que los campesinos de esta zona vienen utilizando para el manejo de sus bosques. Nos interesa determinar de qué manera estas prácticas aportan a una mayor producción y a la sostenibilidad del ecosistema. Para tener una idea más clara sobre estas tecnologías, las clasificaremos en adecuadas y depredantes."
"Asencio Díaz, Fausto Wilfredo: La producción de algarroba de los bosques secos. Cuzco: Centro de Estudios Regionales Andinos &#34;Bartolomé de las Casas&#34;, 1997.","Asencio Díaz, Fausto Wilfredo",La producción de algarroba de los bosques secos,1997,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Perú,Andina,,Preliminares: presentación e introducción.,"regional. En este sentido, en este capítulo vamos a hacer un análisis de la dinámica comercial y de mercado que va teniendo este producto, además de sus usos, que son aspectos centrales de este trabajo de investigación. Nos interesa sobremanera determinar si la explotación de los bosques de algarrobo mediante la producción de algarroba permite la sostenibilidad del ecosistema."
"Asencio Díaz, Fausto Wilfredo: La producción de algarroba de los bosques secos. Cuzco: Centro de Estudios Regionales Andinos &#34;Bartolomé de las Casas&#34;, 1997.","Asencio Díaz, Fausto Wilfredo",La producción de algarroba de los bosques secos,1997,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Perú,Andina,,Preliminares: presentación e introducción.,"algarroba durante el pastoreo o a través de raciones alimenticias en épocas de carencia de este alimento. La agricultura sigue siendo para la mayoría la actividad principal ya que es de relativa rentabilidad; se trata de la producción de limón, producto que en ciertas temporadas alcanza precios considerables. Sin embargo, este cultivo es de alto riesgo debido a que su sostenibilidad depende de la existencia de agua para el riego y de la inyección permanente de insumos externos."
