Fecha,Solicitudes
2021-10-01,29.0
2021-10-02,21.0
2021-10-03,26.0
2021-10-04,31.0
2021-10-05,25.0
2021-10-06,25.0
2021-10-07,29.0
2021-10-08,25.0
2021-10-09,10.0
2021-10-10,29.0
2021-10-11,22.0
2021-10-12,32.0
2021-10-13,22.0
2021-10-14,14.0
2021-10-15,17.0
2021-10-16,24.0
2021-10-17,20.0
2021-10-18,25.0
2021-10-19,18.0
2021-10-20,37.0
2021-10-21,19.0
2021-10-22,34.0
2021-10-23,12.0
2021-10-24,22.0
2021-10-25,6.0
2021-10-26,27.0
2021-10-27,19.0
2021-10-28,14.0
2021-10-29,23.0
2021-10-30,14.0
2021-10-31,7.0
2021-11-01,2.0
2021-11-02,23.0
2021-11-03,21.0
2021-11-04,18.0
2021-11-05,29.0
2021-11-06,26.0
2021-11-07,16.0
2021-11-08,32.0
2021-11-09,5.0
2021-11-10,12.0
2021-11-11,33.0
2021-11-12,28.0
2021-11-13,17.0
2021-11-14,25.0
2021-11-15,19.0
2021-11-16,29.0
2021-11-17,23.0
2021-11-18,18.0
2021-11-19,27.0
2021-11-20,19.0
2021-11-21,33.0
2021-11-22,16.0
2021-11-23,21.0
2021-11-24,7.0
2021-11-25,5.0
2021-11-26,23.0
2021-11-27,19.0
2021-11-28,35.0
2021-11-29,30.0
2021-11-30,23.0
2021-12-01,16.0
2021-12-02,16.0
2021-12-03,22.0
2021-12-04,23.0
2021-12-05,15.0
2021-12-06,25.0
2021-12-07,16.0
2021-12-08,18.0
2021-12-09,21.0
2021-12-10,26.0
2021-12-11,7.0
2021-12-12,18.0
2021-12-13,14.0
2021-12-14,21.0
2021-12-15,9.0
2021-12-16,29.0
2021-12-17,24.0
2021-12-18,28.0
2021-12-19,19.0
2021-12-20,25.0
2021-12-21,15.0
2021-12-22,12.0
2021-12-23,15.0
2021-12-24,16.0
2021-12-25,33.0
2021-12-26,14.0
2021-12-27,23.0
2021-12-28,19.0
2021-12-29,28.0
2021-12-30,9.0
2021-12-31,24.0
2022-01-01,7.0
2022-01-02,14.0
2022-01-03,13.0
2022-01-04,17.0
2022-01-05,35.0
2022-01-06,10.0
2022-01-07,10.0
2022-01-08,21.0
2022-01-09,21.0
2022-01-10,11.0
2022-01-11,32.0
2022-01-12,16.0
2022-01-13,15.0
2022-01-14,17.0
2022-01-15,26.0
2022-01-16,34.0
2022-01-17,13.0
2022-01-18,34.0
2022-01-19,29.0
2022-01-20,31.0
2022-01-21,16.0
2022-01-22,18.0
2022-01-23,14.0
2022-01-24,24.0
2022-01-25,22.0
2022-01-26,26.0
2022-01-27,13.0
2022-01-28,0.0
2022-01-29,25.0
2022-01-30,20.0
2022-01-31,36.0
2022-02-01,32.0
2022-02-02,18.0
2022-02-03,28.0
2022-02-04,23.0
2022-02-05,21.0
2022-02-06,23.0
2022-02-07,29.0
2022-02-08,27.0
2022-02-09,31.0
2022-02-10,39.0
2022-02-11,18.0
2022-02-12,30.0
2022-02-13,20.0
2022-02-14,25.0
2022-02-15,9.0
