country;Date;children_and_elderly_per_100_adults;children_per_woman_total_fertility;child_mortality_0_5_year_olds_dying_per_1000_born;gdp_per_capita_yearly_growth;income_per_person_gdppercapita_ppp_inflation_adjusted;life_expectancy_years;mean_years_in_school_men_25_to_34_years;mean_years_in_school_women_25_to_34_years;population_density_per_square_km;population_growth_annual_percent;population_total
Afghanistan;2015;87;4,8;73,2;2,11;1750;57,9;4,13;0,98;51,7;2,94;33700000
Albania;2015;44,8;1,71;14;3,82;11000;77,6;12;12,3;107;-0,291;2920000
Algeria;2015;52,6;2,84;25,5;2,1;13700;77,3;8,52;7,74;16,7;1,92;39900000
Angola;2015;99,9;5,77;86,5;2,46;6230;64;7,24;5,31;22,3;3,43;27900000
Antigua and Barbuda;2015;45,6;2,06;8,7;1,9;20100;77,2;13,2;14,5;227;1,05;99900
Argentina;2015;56,5;2,31;11,6;-0,128;19100;76,5;12;13;15,9;1,01;43400000
Armenia;2015;41,3;1,66;14;4,29;8180;75,4;12,5;13,1;102;0,369;2920000
Australia;2015;50,9;1,86;3,8;1,48;43800;82,6;14,2;14,5;3,1;1,46;23800000
Austria;2015;49,2;1,49;3,6;1,31;44100;81,4;13,1;13,3;105;1,12;8680000
Azerbaijan;2015;38;2,09;32;3,78;16700;71,8;13;13,2;116;1,19;9620000
Bahamas;2015;41,2;1,78;11;1,64;21700;73,6;12,7;13,6;38,6;1,21;387000
Bahrain;2015;31,4;2,05;7,7;1,23;44500;76,8;9,79;10,5;1810;2,62;1370000
Bangladesh;2015;52,5;2,13;36,3;5,41;3130;72,4;6,53;5,09;1240;1,12;161000000
Barbados;2015;50,4;1,8;12,6;0,64;15400;76,6;10,3;11,2;661;0,293;284000
Belarus;2015;43;1,69;4;3,01;17200;73,3;14,1;14,9;46,7;0,159;9490000
Belgium;2015;54,2;1,79;4;0,781;41700;80,9;13,9;14,5;373;0,579;11300000
Belize;2015;56,8;2,54;15,6;0,744;8060;71,9;9,79;9,78;15,8;2,14;359000
Benin;2015;82;5,05;100;2,59;1990;63,9;5,59;2,73;93,8;2,77;10600000
Bhutan;2015;46,9;2,09;33,6;7,34;7740;73,8;6,63;3,23;20,7;1,4;787000
Bolivia;2015;63,7;2,92;38,2;3,04;6530;73;10,8;9,86;9,9;1,53;10700000
Bosnia and Herzegovina;2015;40,7;1,35;6,1;3,41;10900;77,4;11,3;11,3;69,3;-0,846;3540000
Botswana;2015;55,3;2,77;42,1;3,17;15400;64,6;7,67;8,71;3,9;1,86;2210000
Brazil;2015;44,7;1,74;15,7;1,81;14700;75,2;8,49;9,6;24,6;0,853;206000000
Brunei;2015;38;1,88;10;1,39;74600;76,9;14,6;14,5;79,2;1,41;418000
Bulgaria;2015;51,9;1,55;8,2;3,02;17000;75;12,8;13,6;66,1;-0,638;7180000
Burkina Faso;2015;92,2;5,44;88,5;4,61;1550;60,3;3,07;1,86;66,2;2,94;18100000
Burundi;2015;89,7;5,78;74,6;2,34;749;60;5,43;4,23;397;3,06;10200000
Cambodia;2015;55,6;2,59;32;6,25;3290;68,3;7,29;5,69;87,9;1,6;15500000
Cameroon;2015;84,3;4,78;83,3;2,49;2990;59,7;8,93;7,17;48,3;2,64;22800000
Canada;2015;47,3;1,59;5,1;1,34;43000;81,7;15,3;15,7;3,95;0,833;35900000
Cape Verde;2015;52;2,37;22,2;2,27;5920;73,4;6,96;6,14;132;1,22;533000
Central African Republic;2015;75,2;4,94;129;3,27;626;49,7;7,17;4,27;7,3;0,678;4550000
Chad;2015;101;6,05;131;4,71;2050;59,2;4,79;1,63;11,1;3,19;14000000
Chile;2015;45,2;1,79;8,4;3,15;22500;80,1;12,8;13,3;23,9;0,842;17800000
China;2015;36,6;1,62;10,7;6,75;13600;76,3;11;9,82;149;0,508;1400000000
Colombia;2015;45,6;1,87;15,8;3,25;13000;78;10,1;10,8;43,5;0,91;48200000
Comoros;2015;75,6;4,45;75,8;1,83;1410;67,3;7,51;6,03;418;2,35;777000
Costa Rica;2015;45,4;1,8;9,1;1,83;14900;80,9;10;10,9;94,2;1,05;4810000
Cote d'Ivoire;2015;83,5;4,97;95,1;4,51;3250;59,2;6,4;3,87;72,7;2,53;23100000
Cyprus;2015;41,6;1,35;2,7;-0,184;30400;80,5;14,1;14,6;126;0,75;1160000
Czech Republic;2015;49,5;1,52;3,2;1,86;30400;78,9;14,1;14,5;137;0,197;10600000
Denmark;2015;55,9;1,79;4,3;1,33;45500;80,7;14,5;15,1;134;0,706;5690000
Djibouti;2015;58,5;2,91;66,2;3,55;3140;66,1;8,4;4,05;40;1,66;927000
Dominican Republic;2015;57,8;2,45;31,5;2,27;13400;75,5;10;11,1;218;1,17;10500000
Ecuador;2015;55,6;2,51;21,5;1,9;10800;77,9;10,7;11,2;65;1,51;16100000
Egypt;2015;62,3;3,31;23,7;2,05;10100;71,9;11;9,06;94,2;2,12;93800000
El Salvador;2015;54,3;2,1;15,5;1,29;7850;75;9,34;9,21;305;0,497;6310000
Equatorial Guinea;2015;72,9;4,78;94;-10,7;27200;65,2;9,77;7,28;41,9;3,99;1180000
Estonia;2015;53,5;1,62;3,1;3,25;27300;77,2;13,4;14,5;31;0,0655;1320000
Ethiopia;2015;81,6;4,32;61,3;5,17;1530;65,2;6,12;3,75;99,9;2,54;99900000
Fiji;2015;52,8;2,54;22,5;1,8;8760;65,5;11,6;12,1;48,8;0,714;892000
Finland;2015;58,3;1,8;2,4;0,648;39000;81,5;14,2;15,1;18;0,329;5480000
France;2015;60,3;1,98;3,9;1,07;37800;82,2;13,2;14;118;0,417;64500000
Gabon;2015;73,1;3,85;50,6;4,83;16800;66;10,2;10,2;7,49;2,86;1930000
Gambia;2015;94,2;5,49;67,5;4,12;1590;67;6,5;3,48;195;3,07;1980000
Georgia;2015;45,7;2;11,4;5,32;9030;73,7;13,9;14,6;56,9;-0,266;3950000
Germany;2015;51,8;1,45;3,9;1,45;43800;80,8;14;14,2;234;0,866;81700000
Ghana;2015;73;4,04;61;2,76;3930;65,4;9,11;7,12;121;2,27;27600000
Greece;2015;56,2;1,31;3,8;3,02;24100;81;13,4;13,9;87;-0,659;11200000
Grenada;2015;50,7;2,13;15,8;0,893;12700;71,4;10,3;11,2;314;0,434;107000
Guatemala;2015;70,9;3,03;29,5;0,976;7290;72,5;7,55;6,65;152;2,04;16300000
Guinea;2015;83,8;4,93;92;2,42;1180;60;5,03;2,07;49,2;2,39;12100000
Guinea-Bissau;2015;78,4;4,71;91,3;1,73;1420;58,2;5;2,36;63;2,56;1770000
Guyana;2015;51,1;2,53;33,4;3,67;7060;67;10,3;10,8;3,9;0,669;769000
Haiti;2015;62,3;2,97;68,9;2,6;1650;63,9;8,2;6,9;389;1,3;10700000
Honduras;2015;57,8;2,51;19,4;1,03;4310;72,5;7,91;8,58;80,1;1,71;8960000
Hungary;2015;47,9;1,36;5,4;1,94;24800;75,7;13,4;13,9;108;-0,238;9780000
Iceland;2015;51,6;1,95;2,2;2,64;42700;82,2;13,9;14,9;3,29;1,04;330000
India;2015;52,4;2,35;45,2;4,97;5750;68,2;8,53;5,79;440;1,17;1310000000
Indonesia;2015;49;2,39;27,3;4,31;10400;71,4;10,1;9,56;143;1,18;258000000
Iran;2015;40,2;1,69;15,7;1,05;16000;75,8;11,2;9,89;48,7;1,2;79400000
Iraq;2015;78,7;4,43;32,2;3,54;14900;67,6;9,73;7,88;83,2;3,12;36100000
Ireland;2015;53,7;1,99;3,7;1,85;60900;81,1;13,8;14,5;68,2;0,945;4700000
Israel;2015;64,1;3;3,8;1,19;32000;82;15,1;15,7;373;1,98;8060000
Italy;2015;56,5;1,46;3,4;0,685;34200;82,3;13,8;14,3;202;-0,0964;59500000
Jamaica;2015;48,6;2,03;15,8;1,18;8110;74,9;11,9;12,8;265;0,343;2870000
Japan;2015;64,5;1,44;3;1,23;37800;83,8;15,1;15,5;351;-0,106;128000000
Jordan;2015;64,8;3,45;18,1;1,67;8490;76,8;12,4;12,4;103;3,9;9160000
Kazakhstan;2015;50,3;2,66;12,6;4,63;23500;71,6;13,4;13,9;6,57;1,46;17700000
Kenya;2015;80,9;3,92;51;3,55;2840;66,3;10,1;9,14;83;2,6;47200000
Kiribati;2015;63;3,69;55,9;-0,0392;1870;61,6;9,61;10;139;1,75;112000
Kyrgyz Republic;2015;55,3;3,05;22,3;3,9;3240;71,1;13,2;13,8;30,6;2,06;5870000
Lao;2015;62,8;2,76;66,1;5,8;5430;66,8;7,31;6,11;28,9;1,32;6660000
Latvia;2015;52,2;1,53;5;4,7;23100;74,8;13,5;14,4;32;-0,819;1990000
Lebanon;2015;47,3;1,72;8,4;1,52;13100;80,1;10,8;11,4;572;4,33;5850000
Lesotho;2015;67,3;3,14;97,9;5,22;2780;49,6;8,12;10,2;71,6;1,34;2170000
Liberia;2015;82,9;4,65;70,1;5,98;785;63,8;7,18;4,37;46,7;2,45;4500000
Libya;2015;52,4;2,31;13,4;27,9;13500;74,2;8,71;6,27;3,54;0,496;6230000
Lithuania;2015;50,1;1,64;5,1;3,97;27000;74,9;13,6;14,2;46,8;-0,941;2930000
Luxembourg;2015;43,7;1,56;2,5;-0,0929;95300;82;13,7;14,1;219;2,36;567000
Madagascar;2015;80,3;4,24;48,4;1,52;1380;62,3;6,96;6,46;41,7;2,69;24200000
Malawi;2015;94,5;4,65;59,1;3,52;1090;59,4;7,08;4,98;186;2,91;17600000
Malaysia;2015;43,6;2,06;8,2;3,25;25000;75,4;11,7;11,9;93,5;1,62;30700000
Maldives;2015;47,4;2,13;9;2,74;12000;79,3;7,92;7,6;1390;2,46;418000
Mali;2015;100;6,15;114;1,82;1920;61,4;3;1,56;14,3;2,93;17500000
Malta;2015;50,8;1,44;6,9;1,62;34400;81,3;11,3;11,6;1340;2,39;428000
Mauritania;2015;76,1;4,74;83,9;4,05;3600;70;6,53;4,44;4,06;2,87;4180000
Mauritius;2015;40,6;1,44;14,3;3,49;18900;74,5;10,4;10,4;620;0,132;1260000
Mexico;2015;51,7;2,22;15;2,46;16700;76,2;10,8;10,8;64,8;1,33;126000000
Moldova;2015;34,6;1,25;16,2;4,53;4750;72,1;12,8;13,8;124;-0,0644;4070000
Mongolia;2015;47,6;2,79;18,8;5,91;11400;68,2;10,8;12,1;1,92;1,8;2980000
Montenegro;2015;47,7;1,68;4,1;2,73;15300;76,9;12,9;13,1;46,7;0,0561;628000
Morocco;2015;50,1;2,53;28;3,87;7290;74,8;6,83;4,84;78;1,4;34800000
Mozambique;2015;94,8;5,31;75,1;5,39;1120;59;5,26;2,99;35,6;2,89;28000000
Myanmar;2015;49,1;2,23;52,7;5,69;5070;69,5;7,47;7,74;80,2;0,919;52400000
Namibia;2015;67,3;3,47;48;3,63;9910;64,3;9,18;9,79;2,95;2,28;2430000
Nepal;2015;61,8;2,16;36,1;2,94;2300;69,7;7,19;3,6;200;1,17;28700000
Netherlands;2015;53,3;1,75;3,9;1,39;46400;81,6;14,6;14,7;502;0,443;16900000
Nicaragua;2015;54,1;2,23;20,3;2,92;4960;78;8,04;9,04;50,5;1,12;6080000
Niger;2015;113;7,29;95;2,74;897;61,2;2,89;1,41;15,7;3,84;19900000
Nigeria;2015;87,7;5,59;108;4,16;5670;64;9,14;6,77;199;2,64;181000000
Norway;2015;52,2;1,84;2,7;0,745;63700;82,1;14,9;15,4;14,2;1,03;5200000
Oman;2015;30;2,74;10,9;0,125;40100;77,4;9,67;8,19;13,6;5,86;4200000
Pakistan;2015;65,3;3,55;81;1,67;4700;67,3;7,55;4,26;246;2,05;189000000
Panama;2015;53,4;2,54;16,9;5,01;20700;78,7;11,4;12,5;53,4;1,66;3970000
Papua New Guinea;2015;67,1;3,71;56,2;18,6;2750;60,5;8,28;6,04;17,5;2,09;7920000
Paraguay;2015;56,6;2,51;20,6;2,69;8640;74,4;9,26;10,2;16,7;1,31;6640000
Peru;2015;53,2;2,43;16;4,19;11800;79,5;12;11,6;24,5;1,29;31400000
Philippines;2015;57,5;2,96;28;4,42;6880;70,1;10,9;11,8;341;1,6;102000000
Poland;2015;43,8;1,31;4,9;3,3;25300;77,7;14,1;14,8;125;-0,0666;38300000
Portugal;2015;53,5;1,25;3,5;1,35;26500;80,8;10,5;11,5;114;-0,414;10400000
Qatar;2015;20,1;1,93;8,6;-0,855;120000;80,5;8,84;10,8;214;4,41;2480000
Romania;2015;48,9;1,51;9,2;2,69;20500;75,1;13,6;13,8;86,4;-0,471;19900000
Russia;2015;43,1;1,74;8;2,37;24100;70,8;13,9;14,7;8,79;0,193;144000000
Rwanda;2015;78,1;3,97;40,5;5,29;1720;67,3;6,2;5,48;471;2,47;11600000
Samoa;2015;74;4,03;17,7;1,5;5560;71,7;12,3;13,2;68,5;0,761;194000
Sao Tome and Principe;2015;84,2;4,52;35,2;3,45;2940;70,3;7,64;6,35;204;2,22;196000
Saudi Arabia;2015;45,9;2,58;13,3;2,16;50700;76,8;12,5;9,61;14,7;2,5;31600000
Senegal;2015;87,6;4,84;49,5;1,83;2300;65,9;4,9;3,11;77,8;2,92;15000000
Seychelles;2015;43,5;2,33;14,5;2,6;25500;73,7;11,5;11,6;204;2,23;93700
Sierra Leone;2015;81,9;4,56;119;9,29;1320;57,6;4,85;2,58;100;2,21;7240000
Singapore;2015;37,4;1,24;2,7;2,52;80900;83,6;14;13,8;7910;1,19;5540000
Slovak Republic;2015;40,8;1,43;6;2,83;28300;76,8;13,5;14;113;0,095;5440000
Slovenia;2015;48,7;1,61;2,4;0,786;29100;80,7;13,4;14,2;103;0,0752;2070000
Solomon Islands;2015;75,1;3,91;26,3;1,34;2050;62,8;8,92;7,85;21;2,06;587000
South Africa;2015;52,1;2,49;44,1;1,29;12400;61,8;11;11,5;45,6;1,37;55300000
South Korea;2015;37,2;1,28;3,5;3,35;34200;80,9;14,8;14,6;520;0,527;50600000
South Sudan;2015;83,7;4,94;93,8;12,5;1810;58,9;3,29;1,19;19,4;3;11900000
Spain;2015;50,8;1,35;3,4;1,19;32200;82,9;12,8;13,5;93;-0,0776;46400000
Sri Lanka;2015;51,2;2,06;9,6;5,78;11100;77,2;11,1;11,6;330;0,934;20700000
St. Lucia;2015;47,3;1,47;13,7;0,407;10700;76,1;10,9;11,9;291;0,444;177000
St. Vincent and the Grenadines;2015;46,8;1,95;17,2;2,82;10500;71,6;10,3;11,2;281;0,0896;109000
Sudan;2015;78;4,6;67,1;1,98;4290;68;7,56;5,67;21,9;2,38;38600000
Suriname;2015;50,8;2,4;20,6;3,05;14800;71,2;10;10,1;3,55;0,959;553000
Sweden;2015;59,3;1,91;2,9;1,76;45500;82,1;14,5;15,1;23,8;1,06;9760000
Switzerland;2015;48,8;1,54;4,1;1,61;56500;83,1;14,6;14,4;211;1,14;8320000
Tajikistan;2015;60,9;3,4;44,5;3,57;2640;71,6;12,5;11,8;61,1;2,2;8550000
Tanzania;2015;93,8;5,08;58,8;3,88;2490;63,5;7,96;7,06;60,8;3,1;53900000
Thailand;2015;39,2;1,5;12,6;3,31;15200;77,6;9,83;10,1;134;0,351;68700000
Timor-Leste;2015;92,3;5,62;51,6;5,7;2150;72,6;8,2;6,92;83,5;2,3;1240000
Togo;2015;81,8;4,52;78;3,28;1350;62,1;7,52;4,19;136;2,57;7420000
Tonga;2015;74,3;3,68;16,8;1,49;5190;70,3;11,7;12,2;148;0,549;106000
Trinidad and Tobago;2015;43,2;1,77;19,1;1,68;31300;73,1;12,5;13,3;265;0,413;1360000
Tunisia;2015;44,8;2,22;14;3,16;10800;77,4;11,1;9,1;72,6;1,16;11300000
Turkey;2015;49,7;2,07;13,6;1,97;23400;79;10,3;8,76;102;1,6;78300000
Turkmenistan;2015;47,9;2,93;52,6;10,7;15000;69,9;13,8;14;11,8;1,8;5570000
Uganda;2015;102;5,68;55,9;3,35;1690;61,6;8,17;6,16;201;3,32;40100000
United Arab Emirates;2015;17,8;1,77;7,8;1,15;66000;76,5;12,5;13,2;110;0,916;9150000
United Kingdom;2015;55,1;1,88;4,4;1,79;38500;80,8;14,6;14,9;270;0,795;65400000
United States;2015;50,9;1,93;6,6;2,15;52800;78,8;14,6;15,1;35;0,756;320000000
Uruguay;2015;55,9;2,01;9,3;2,64;19800;77,1;11;12,1;19,6;0,35;3430000
Uzbekistan;2015;49,7;2,31;25,8;5,24;5700;70;12,7;13;72,8;1,74;31000000
Vanuatu;2015;68,7;3,31;28,2;2,17;2810;63,6;9,37;8,94;21,7;2,2;265000
Venezuela;2015;52,4;2,34;16,6;-2,52;15600;75,5;10,5;11,5;35,3;1,35;31200000
Vietnam;2015;42,5;1,96;22;4,61;5670;74,3;9,69;9,65;302;1,1;93600000
Yemen;2015;75,6;4,1;55,3;1,39;2640;67,2;7,8;2,35;51;2,52;26900000
Zambia;2015;95,4;5,04;66,1;3,65;3630;58,1;9,11;7,75;21,7;3,02;16100000
Zimbabwe;2015;80,4;3,84;59,9;3,33;1890;58,3;11,1;10,2;40,8;2,35;15800000
