,fecha_hora,fecha_id,mes,dia_mes,semana_año,nombre_dia,precipitacion,presion,temperatura,humedad,Velocidad_Prom,Velocidad_Max,Direccion_Prom,Direccion_Max,radiacion,humedad_suelo,pluviometro,fecha
0,2021-09-01 00:00:00,2021-09-01 00,09,01,35,Miércoles,0.0,866.503,17.973,91.653,0.768,0.988,138.817,139.867,0.0,43.552,,2021-09-01 00:00
1,2021-09-01 01:00:00,2021-09-01 01,09,01,35,Miércoles,0.0,866.008,18.023,91.43,0.692,0.978,205.65,207.65,0.0,42.91,0.254,2021-09-01 01:00
2,2021-09-01 02:00:00,2021-09-01 02,09,01,35,Miércoles,0.0,865.7,18.08,90.798,1.267,1.938,91.1,95.883,0.0,42.4,,2021-09-01 02:00
3,2021-09-01 03:00:00,2021-09-01 03,09,01,35,Miércoles,0.009,865.697,18.232,85.632,2.83,4.493,90.383,89.467,0.0,42.105,,2021-09-01 03:00
4,2021-09-01 04:00:00,2021-09-01 04,09,01,35,Miércoles,0.0,865.983,18.037,83.88,1.212,1.943,155.017,159.683,0.0,41.73,,2021-09-01 04:00
5,2021-09-01 05:00:00,2021-09-01 05,09,01,35,Miércoles,0.002,866.177,17.473,89.047,0.54,0.758,145.683,146.283,0.0,41.62,,2021-09-01 05:00
6,2021-09-01 06:00:00,2021-09-01 06,09,01,35,Miércoles,0.001,866.363,17.388,90.793,0.323,0.503,182.25,178.783,21.704,41.4,0.254,2021-09-01 06:00
7,2021-09-01 07:00:00,2021-09-01 07,09,01,35,Miércoles,0.0,866.78,17.92,89.038,0.622,0.975,234.683,234.95,127.508,41.11,0.01,2021-09-01 07:00
8,2021-09-01 08:00:00,2021-09-01 08,09,01,35,Miércoles,0.009,867.39,18.797,85.062,0.738,1.205,263.183,266.05,128.67,41.145,0.0,2021-09-01 08:00
9,2021-09-01 09:00:00,2021-09-01 09,09,01,35,Miércoles,0.006,867.36,19.763,83.843,0.763,1.328,171.217,175.733,363.534,40.993,0.01,2021-09-01 09:00
10,2021-09-01 10:00:00,2021-09-01 10,09,01,35,Miércoles,0.006,866.642,21.558,68.243,1.458,2.67,237.65,234.15,524.343,40.9,0.005,2021-09-01 10:00
11,2021-09-01 11:00:00,2021-09-01 11,09,01,35,Miércoles,0.0,866.5,22.68,66.057,1.355,2.193,234.8,239.983,622.69,40.907,0.0,2021-09-01 11:00
12,2021-09-01 12:00:00,2021-09-01 12,09,01,35,Miércoles,0.0,865.54,25.493,51.337,1.165,2.038,254.55,264.067,877.938,40.71,,2021-09-01 12:00
13,2021-09-01 13:00:00,2021-09-01 13,09,01,35,Miércoles,0.0,864.373,25.953,47.077,2.443,3.713,78.4,72.45,860.998,40.65,,2021-09-01 13:00
14,2021-09-01 14:00:00,2021-09-01 14,09,01,35,Miércoles,0.0,863.395,26.132,49.76,2.44,3.88,86.267,92.467,717.305,40.667,,2021-09-01 14:00
15,2021-09-01 15:00:00,2021-09-01 15,09,01,35,Miércoles,0.0,863.085,25.137,52.692,2.947,4.208,96.633,98.217,236.695,40.673,,2021-09-01 15:00
16,2021-09-01 16:00:00,2021-09-01 16,09,01,35,Miércoles,0.0,863.268,23.36,59.975,2.305,3.393,127.767,128.0,265.343,40.712,,2021-09-01 16:00
17,2021-09-01 17:00:00,2021-09-01 17,09,01,35,Miércoles,0.0,863.725,21.925,70.693,1.528,2.182,117.233,116.683,30.172,40.528,,2021-09-01 17:00
18,2021-09-01 18:00:00,2021-09-01 18,09,01,35,Miércoles,0.0,864.662,21.698,73.897,2.498,3.853,87.05,87.9,0.0,40.487,,2021-09-01 18:00
19,2021-09-01 19:00:00,2021-09-01 19,09,01,35,Miércoles,0.0,865.242,20.867,75.53,2.293,3.492,71.383,69.833,0.0,40.487,,2021-09-01 19:00
20,2021-09-01 20:00:00,2021-09-01 20,09,01,35,Miércoles,0.004,866.138,19.503,80.823,1.537,2.402,91.917,101.35,0.0,40.5,,2021-09-01 20:00
21,2021-09-01 21:00:00,2021-09-01 21,09,01,35,Miércoles,0.001,867.125,18.51,86.913,1.307,2.015,123.033,115.05,0.0,40.5,,2021-09-01 21:00
22,2021-09-01 22:00:00,2021-09-01 22,09,01,35,Miércoles,0.0,867.798,18.295,89.525,0.778,1.178,202.283,203.0,0.0,40.472,0.0,2021-09-01 22:00
23,2021-09-01 23:00:00,2021-09-01 23,09,01,35,Miércoles,0.001,867.523,18.19,89.773,0.865,1.202,245.983,238.117,0.0,40.298,0.0,2021-09-01 23:00
24,2021-09-02 00:00:00,2021-09-02 00,09,02,35,Jueves,0.0,867.225,18.127,88.613,0.732,1.037,186.083,190.033,0.0,40.278,0.0,2021-09-02 00:00
25,2021-09-02 01:00:00,2021-09-02 01,09,02,35,Jueves,0.011,866.572,17.758,87.293,0.783,1.047,150.917,151.667,0.0,40.3,0.051,2021-09-02 01:00
26,2021-09-02 02:00:00,2021-09-02 02,09,02,35,Jueves,0.0,866.363,17.507,88.602,0.728,1.03,172.283,170.333,0.0,40.3,,2021-09-02 02:00
27,2021-09-02 03:00:00,2021-09-02 03,09,02,35,Jueves,0.0,866.53,17.433,88.7,0.523,0.76,127.5,128.35,0.0,40.3,,2021-09-02 03:00
28,2021-09-02 04:00:00,2021-09-02 04,09,02,35,Jueves,0.0,866.55,17.088,89.96,0.598,0.815,163.433,163.4,0.0,40.3,,2021-09-02 04:00
29,2021-09-02 05:00:00,2021-09-02 05,09,02,35,Jueves,0.0,866.882,16.972,89.287,0.637,0.865,166.983,162.017,0.0,40.295,,2021-09-02 05:00
30,2021-09-02 06:00:00,2021-09-02 06,09,02,35,Jueves,0.0,867.477,17.118,89.323,0.498,0.668,182.7,177.867,39.784,40.155,,2021-09-02 06:00
31,2021-09-02 07:00:00,2021-09-02 07,09,02,35,Jueves,0.0,867.872,18.245,86.463,0.352,0.647,155.7,150.733,147.082,40.015,,2021-09-02 07:00
32,2021-09-02 08:00:00,2021-09-02 08,09,02,35,Jueves,0.0,867.817,19.697,79.513,0.762,1.34,256.883,251.4,407.251,40.0,,2021-09-02 08:00
33,2021-09-02 09:00:00,2021-09-02 09,09,02,35,Jueves,0.0,867.345,21.573,69.315,0.965,1.738,226.867,217.067,540.208,40.0,,2021-09-02 09:00
34,2021-09-02 10:00:00,2021-09-02 10,09,02,35,Jueves,0.0,866.513,24.728,52.425,1.807,3.198,275.133,269.917,798.292,40.0,,2021-09-02 10:00
35,2021-09-02 11:00:00,2021-09-02 11,09,02,35,Jueves,0.0,865.632,26.555,46.558,1.893,3.007,204.25,202.55,1030.428,40.0,,2021-09-02 11:00
36,2021-09-02 12:00:00,2021-09-02 12,09,02,35,Jueves,0.0,864.738,26.208,51.893,2.968,4.652,74.517,77.033,1020.651,40.0,,2021-09-02 12:00
37,2021-09-02 13:00:00,2021-09-02 13,09,02,35,Jueves,0.0,863.96,26.543,54.458,3.172,4.95,84.083,79.233,534.661,40.0,,2021-09-02 13:00
38,2021-09-02 14:00:00,2021-09-02 14,09,02,35,Jueves,0.0,863.225,27.723,46.965,3.143,5.013,68.05,65.15,750.548,40.0,,2021-09-02 14:00
39,2021-09-02 15:00:00,2021-09-02 15,09,02,35,Jueves,0.0,862.413,27.88,46.848,2.832,4.44,72.217,74.583,548.452,40.0,,2021-09-02 15:00
40,2021-09-02 16:00:00,2021-09-02 16,09,02,35,Jueves,0.0,862.218,27.423,49.243,3.245,4.902,74.917,75.283,286.56,40.0,,2021-09-02 16:00
41,2021-09-02 17:00:00,2021-09-02 17,09,02,35,Jueves,0.0,862.648,26.485,51.45,2.855,4.332,95.833,96.95,93.437,40.0,,2021-09-02 17:00
42,2021-09-02 18:00:00,2021-09-02 18,09,02,35,Jueves,0.0,863.473,24.968,59.262,2.595,3.732,98.333,97.517,0.0,40.0,,2021-09-02 18:00
43,2021-09-02 19:00:00,2021-09-02 19,09,02,35,Jueves,0.0,864.458,23.26,72.915,4.273,6.105,91.033,87.483,0.0,40.0,,2021-09-02 19:00
44,2021-09-02 20:00:00,2021-09-02 20,09,02,35,Jueves,0.0,865.458,22.36,78.548,2.735,3.987,92.65,88.833,0.0,39.925,,2021-09-02 20:00
45,2021-09-02 21:00:00,2021-09-02 21,09,02,35,Jueves,0.0,866.467,21.865,80.603,1.888,2.747,91.833,92.65,0.0,39.8,,2021-09-02 21:00
46,2021-09-02 22:00:00,2021-09-02 22,09,02,35,Jueves,0.0,866.67,20.702,83.46,1.018,1.428,164.333,162.883,0.0,39.703,,2021-09-02 22:00
47,2021-09-02 23:00:00,2021-09-02 23,09,02,35,Jueves,0.0,866.717,20.2,82.63,0.752,1.172,153.583,158.217,0.0,39.7,,2021-09-02 23:00
48,2021-09-03 00:00:00,2021-09-03 00,09,03,35,Viernes,0.0,866.343,19.687,83.543,1.155,1.495,154.233,157.883,0.0,39.703,,2021-09-03 00:00
49,2021-09-03 01:00:00,2021-09-03 01,09,03,35,Viernes,0.0,865.638,19.04,85.583,0.855,1.138,154.4,157.233,0.0,39.707,,2021-09-03 01:00
50,2021-09-03 02:00:00,2021-09-03 02,09,03,35,Viernes,0.0,865.187,18.745,85.922,0.737,1.027,163.033,165.983,0.0,39.75,,2021-09-03 02:00
51,2021-09-03 03:00:00,2021-09-03 03,09,03,35,Viernes,0.0,864.563,18.292,85.363,0.652,0.983,179.333,175.367,0.0,39.827,,2021-09-03 03:00
